slug,filename,image_alt,source_type,source_name,source_url,license_name,license_url,credit,rights_confirmed
southampton,,Southampton,,,,,,,
bath,,Bath,,,,,,,
birmingham,,Birmingham,,,,,,,
bradford,,Bradford,,,,,,,
brighton-hove,,Brighton & Hove,,,,,,,
bristol,,Bristol,,,,,,,
cambridge,,Cambridge,,,,,,,
canterbury,,Canterbury,,,,,,,
carlisle,,Carlisle,,,,,,,
chelmsford,,Chelmsford,,,,,,,
chester,,Chester,,,,,,,
chichester,,Chichester,,,,,,,
colchester,,Colchester,,,,,,,
coventry,,Coventry,,,,,,,
derby,,Derby,,,,,,,
doncaster,,Doncaster,,,,,,,
durham,,Durham,,,,,,,
ely,,Ely,,,,,,,
exeter,,Exeter,,,,,,,
gloucester,,Gloucester,,,,,,,
hereford,,Hereford,,,,,,,
kingston-upon-hull,,Kingston-upon-Hull,,,,,,,
lancaster,,Lancaster,,,,,,,
leeds,,Leeds,,,,,,,
leicester,,Leicester,,,,,,,
lichfield,,Lichfield,,,,,,,
lincoln,,Lincoln,,,,,,,
liverpool,,Liverpool,,,,,,,
london,,London,,,,,,,
manchester,,Manchester,,,,,,,
milton-keynes,,Milton Keynes,,,,,,,
newcastle-upon-tyne,,Newcastle-upon-Tyne,,,,,,,
norwich,,Norwich,,,,,,,
nottingham,,Nottingham,,,,,,,
oxford,,Oxford,,,,,,,
peterborough,,Peterborough,,,,,,,
plymouth,,Plymouth,,,,,,,
portsmouth,,Portsmouth,,,,,,,
preston,,Preston,,,,,,,
ripon,,Ripon,,,,,,,
salford,,Salford,,,,,,,
salisbury,,Salisbury,,,,,,,
sheffield,,Sheffield,,,,,,,
southend-on-sea,,Southend-on-Sea,,,,,,,
st-albans,,St Albans,,,,,,,
stoke-on-trent,,Stoke on Trent,,,,,,,
sunderland,,Sunderland,,,,,,,
truro,,Truro,,,,,,,
wakefield,,Wakefield,,,,,,,
wells,,Wells,,,,,,,
westminster,,Westminster,,,,,,,
winchester,,Winchester,,,,,,,
wolverhampton,,Wolverhampton,,,,,,,
worcester,,Worcester,,,,,,,
york,,York,,,,,,,
armagh,,Armagh,,,,,,,
bangor-northern-ireland,,Bangor,,,,,,,
belfast,,Belfast,,,,,,,
lisburn,,Lisburn,,,,,,,
londonderry,,Londonderry,,,,,,,
newry,,Newry,,,,,,,
aberdeen,,Aberdeen,,,,,,,
dundee,,Dundee,,,,,,,
dunfermline,,Dunfermline,,,,,,,
edinburgh,,Edinburgh,,,,,,,
glasgow,,Glasgow,,,,,,,
inverness,,Inverness,,,,,,,
perth,,Perth,,,,,,,
stirling,,Stirling,,,,,,,
bangor-wales,,Bangor,,,,,,,
cardiff,,Cardiff,,,,,,,
newport,,Newport,,,,,,,
st-asaph,,St Asaph,,,,,,,
st-davids,,St Davids,,,,,,,
swansea,,Swansea,,,,,,,
wrexham,,Wrexham,,,,,,,
